Carrer_Goal,Celebrity,Gender,Education,Location,Age,Hobby,Language,Skills,Lifestyle,College,user_id
Professor,Salman Khan,Female,MTech Mining,Nagpur,23,PC Gaming,Tamil,Graphic Design,Minimalist,NIT Hamirpur,404
IPS,Akshay Kumar,Female,MTech Electronics and Communication,Visakhapatnam,24,Hockey,Odia,Cloud Computing,Urban,NIT Bhopal,405
Teacher,Tiger Shroff,Female,BTech Chemical,Vadodara,19,Chess,Marathi,Machine Learning,Minimalist,NIT Jaipur,406
Teacher,Hrithik Roshan,Female,MTech Electrical and Electronics,Bareilly,23,Running,Marathi,Machine Learning,Urban,IIT Delhi,407
Scientist,Amitabh Bachchan,Female,MTech Mechanical,Bhopal,22,Learning new skills,Tamil,UI/UX Design,Urban,NIT Rourkela,408
IAS,Priyanka Chopra,Female,MTech Metallurgical and Materials,Tiruchirappalli,24,Chess,Assamese,Cyber Security,Minimalist,NIT Durgapur,409
IPS,Hrithik Roshan,Male,BTech Mechanical,Jodhpur,18,Reading,Punjabi,Content Writing,Urban,NIT Surathkal,410
IAS,Rohit Sharma,Female,MTech Computer Science ,Gurgaon,24,Hiking,Tamil,Cyber Security,Urban,NIT Bhopal,411
IAS,Priyanka Chopra,Male,MTech Information Technology,Kota,24,Tennis,Odia,Photography,Minimalist,IIT Delhi,412
IPS,Katrina Kaif,Female,MTech Mechanical,Bhubaneswar,23,Hiking,Malayalam,Copywriting,Minimalist,NIT Jaipur,413
Web Developer,Salman Khan,Female,BTech Civil,Dhanbad,18,Meditation,Punjabi,Machine Learning,Urban,IIT Gandhinagar,414
Software Developer,Anushka Sharma,Female,BTech Electrical and Electronics,Nashik,19,Badminton,Gujarati,Graphic Design,Minimalist,IIT Jodhpur,415
Entrepreneur,M. S. Dhoni,Male,MTech Metallurgical and Materials,Tiruchirappalli,23,Volleyball,Maithili,Graphic Design,Urban,NIT Rourkela,416
IPS,Tiger Shroff,Male,BTech Electrical and Electronics,Tiruchirappalli,18,Attending Cultural Events,Assamese,Cloud Computing,Urban,IIT Guwahati,417
Entrepreneur,Deepika Padukone,Female,MTech Computer Science ,Jabalpur,23,Kabaddi,Malayalam,UI/UX Design,Urban,NIT Hamirpur,418
Software Developer,Alia Bhatt,Female,BTech Computational and Data Sciences,Thiruvananthapuram,18,Yoga,Hindi,Project Management,Minimalist,NIT Durgapur,419
IPS,Varun Dhawan,Female,MTech Computational and Data Sciences,Ludhiana,23,Swimming,Bengali,Graphic Design,Minimalist,IIT Indore,420
Software Developer,Sara Ali Khan,Female,MTech Civil,Salem,22,Hangout,Kannada,Project Management,Minimalist,IIT Roorkee,421
Teacher,Anil Kapoor,Female,MTech Information Technology,Lucknow,23,Basketball,Odia,Cyber Security,Minimalist,IIT Indore,422
Teacher,Akshay Kumar,Female,MTech Mining,Jalandhar,22,Tennis,Tamil,Cloud Computing,Urban,IIT Indore,423
Teacher,Salman Khan,Male,BTech Civil,Raipur,21,Reading,Hindi,Graphic Design,Urban,NIT Rourkela,424
Data Engineer,Priyanka Chopra,Female,BTech Mechanical,Meerut,18,Learning new skills,Marathi,Marketing Strategy,Urban,IIT Indore,425
App Development,Priyanka Chopra,Male,MTech Computational and Data Sciences,Mangaluru,23,Learning new skills,Assamese,Data Analysis,Urban,NIT Trichy,426
App Development,Katrina Kaif,Male,MTech Civil,Ghaziabad,24,WebSeries,Odia,Project Management,Urban,NIT Rourkela,427
IPS,Salman Khan,Male,MTech Chemical,Madurai,24,Meditation,Kannada,Web Development,Minimalist,IIT Jodhpur,428
Scientist,Sara Ali Khan,Male,MTech Civil,Chandigarh,24,Badminton,Gujarati,Data Analysis,Urban,NIT Jaipur,429
Data Analyst,Shah Rukh Khan,Male,BTech Metallurgical and Materials,Kota,18,Painting,Gujarati,Video Editing,Urban,NIT Rourkela,430
Professor,Katrina Kaif,Male,BTech Civil,Vadodara,21,Singing,Telugu,Data Visualization,Urban,IIT Indore,431
App Development,Kareena Kapoor,Male,BTech Mechanical,Jodhpur,19,Swimming,Assamese,Project Management,Minimalist,NIT Jamshedpur,432
Teacher,Ranbir Kapoor,Male,BTech Civil,Nagpur,21,Anime,Maithili,Sales and Marketing,Minimalist,IIT Kanpur,433
Scientist,Kareena Kapoor,Male,MTech Electrical and Electronics,Delhi,23,Painting,Punjabi,Cloud Computing,Urban,NIT Durgapur,434
Scientist,Katrina Kaif,Female,MTech Mining,Meerut,23,Volleyball,Assamese,Marketing Strategy,Urban,NIT Allahabad,435
Entrepreneur,Ranveer Singh,Male,BTech Computational and Data Sciences,Rajkot,21,Meditation,Odia,Digital Marketing,Minimalist,IIT Madras,436
IPS,Anushka Sharma,Female,BTech Electrical and Electronics,Delhi,20,Cricket,Malayalam,Animation,Urban,IIT Guwahati,437
Software Developer,Priyanka Chopra,Female,BTech Electrical and Electronics,Pune,21,Yoga,Odia,Data Science,Minimalist,IIT Madras,438
Scientist,Katrina Kaif,Male,BTech Computer Science ,Ghaziabad,20,Learning new skills,Maithili,Content Writing,Minimalist,IIT Kharagpur,439
Data Analyst,Varun Dhawan,Female,BTech Information Technology,Mumbai,18,Photography,Tamil,Data Visualization,Urban,IIT Gandhinagar,440
Teacher,Vicky Kaushal,Male,MTech Chemical,Mumbai,24,Drama,Kannada,Mobile App Development,Urban,IIT Delhi,441
Data Engineer,Ranveer Singh,Male,BTech Mining,Ghaziabad,18,Singing,Marathi,Sales and Marketing,Minimalist,IIT Kanpur,442
Scientist,Amitabh Bachchan,Female,BTech Mining,Guwahati,19,Volleyball,Marathi,Web Development,Urban,NIT Bhopal,443
Teacher,M. S. Dhoni,Male,BTech Mining,Mira and Bhayander,18,Tennis,Marathi,Data Analysis,Urban,IIT Roorkee,444
Data Scientist,Tiger Shroff,Female,MTech Mechanical,Rajkot,24,Writing,Gujarati,UI/UX Research,Minimalist,NIT Kurukshetra,445
IPS,Katrina Kaif,Male,BTech Mechanical,Gwalior,19,PC Gaming,Assamese,Sales and Marketing,Minimalist,NIT Trichy,446
IPS,M. S. Dhoni,Male,MTech Computer Science ,Srinagar,23,Kabaddi,Kannada,Copywriting,Minimalist,IIT Guwahati,447
Entrepreneur,Alia Bhatt,Male,BTech Computer Science ,Ahmedabad,20,Attending Cultural Events,Hindi,Game Development,Minimalist,IIT Kanpur,448
IPS,Akshay Kumar,Female,BTech Chemical,Kota,21,Learning new skills,Gujarati,Social Media Management,Urban,IIT Gandhinagar,449
Data Analyst,Janhvi Kapoor,Male,BTech Mining,Varanasi,21,Volleyball,Punjabi,Mobile App Development,Urban,IIT Madras,450
App Development,Akshay Kumar,Female,BTech Mining,Bhopal,18,Photography,Telugu,Management,Minimalist,NIT Rourkela,451
IPS,Virat Kohli,Male,BTech Mining,Chandigarh,21,Painting,Bengali,Graphic Design,Urban,IIT BHU,452
Teacher,Akshay Kumar,Male,BTech Electronics and Communication,Coimbatore,20,Volleyball,Hindi,Blockchain,Urban,NIT Rourkela,453
Software Developer,Sara Ali Khan,Male,BTech Mechanical,Mira and Bhayander,19,Swimming,Gujarati,Social Media Management,Minimalist,NIT Jamshedpur,454
Data Scientist,Kriti Sanon,Female,MTech Computer Science ,Surathkal,24,Attending Cultural Events,Odia,Data Analysis,Urban,IIT Bombay,455
Teacher,Rajkummar Rao,Male,BTech Mechanical,Agra,18,Hangout,Telugu,Animation,Urban,IIT Kharagpur,456
Data Engineer,Rajkummar Rao,Male,BTech Civil,Gwalior,20,Dancing,Bengali,Data Analysis,Urban,IIT Roorkee,457
Software Developer,Varun Dhawan,Female,BTech Electrical and Electronics,Jabalpur,21,Painting,Tamil,Social Media Management,Urban,IIT Hyderabad,458
Data Scientist,Janhvi Kapoor,Female,MTech Civil,Lucknow,22,Manga,Kannada,Marketing Strategy,Urban,NIT Bhopal,459
IPS,Salman Khan,Male,MTech Mining,Tiruchirappalli,22,Drama,Maithili,Content Writing,Urban,IIT Jodhpur,460
Scientist,Amitabh Bachchan,Female,MTech Electronics and Communication,Nashik,22,Photography,Telugu,UI/UX Research,Urban,NIT Hamirpur,461
Web Developer,Janhvi Kapoor,Male,BTech Electronics and Communication,Gwalior,20,Manga,Gujarati,Mobile App Development,Minimalist,IIT Hyderabad,462
App Development,Ranveer Singh,Female,BTech Mechanical,Thiruvananthapuram,20,Swimming,Malayalam,Animation,Minimalist,IIT Kanpur,463
App Development,Shah Rukh Khan,Female,BTech Computer Science ,Jabalpur,20,Swimming,Hindi,Content Writing,Urban,NIT Bhopal,464
Web Developer,Hrithik Roshan,Male,BTech Computer Science ,Indore,20,PC Gaming,Malayalam,Trading,Minimalist,IIT Bombay,465
Data Analyst,Shraddha Kapoor,Female,BTech Computer Science ,Coimbatore,18,Swimming,Hindi,Data Science,Urban,IIT Guwahati,466
Teacher,Vicky Kaushal,Male,MTech Civil,Haora,23,Writing,Punjabi,Video Editing,Urban,NIT Durgapur,467
Software Developer,Varun Dhawan,Female,MTech Metallurgical and Materials,Ranchi,24,Anime,Assamese,Content Writing,Minimalist,IIT Delhi,468
Teacher,Ayushmann Khurrana,Female,BTech Mechanical,Amritsar,18,Running,Maithili,UI/UX Research,Urban,NIT Kurukshetra,469
IPS,Kareena Kapoor,Male,MTech Metallurgical and Materials,Lucknow,24,Hangout,Assamese,Cyber Security,Minimalist,IIT Kharagpur,470
Software Developer,Alia Bhatt,Male,MTech Mining,Thiruvananthapuram,24,Anime,Telugu,Machine Learning,Urban,IIT Gandhinagar,471
Teacher,Anil Kapoor,Female,BTech Civil,Madurai,19,Attending Cultural Events,Telugu,Data Analysis,Minimalist,NIT Hamirpur,472
Teacher,Rajkummar Rao,Female,MTech Computer Science ,Mysore,22,Cricket,Malayalam,Data Analysis,Urban,IIT Gandhinagar,473
Data Engineer,Vicky Kaushal,Male,BTech Mining,Aurangabad,19,Drama,Malayalam,Machine Learning,Minimalist,IIT Hyderabad,474
Data Analyst,Shah Rukh Khan,Male,MTech Mining,Meerut,23,PC Gaming,Kannada,Animation,Urban,NIT Jamshedpur,475
Software Developer,Katrina Kaif,Female,BTech Information Technology,Mysore,18,Singing,Odia,Graphic Design,Minimalist,NIT Durgapur,476
Web Developer,Shraddha Kapoor,Female,BTech Information Technology,Patna,18,Chess,Bengali,Machine Learning,Urban,NIT Bhopal,477
Software Developer,Virat Kohli,Female,MTech Information Technology,Surathkal,22,Drama,Assamese,Web Development,Urban,IIT Gandhinagar,478
IPS,Katrina Kaif,Female,BTech Information Technology,Bhopal,18,Hiking,Hindi,Video Editing,Minimalist,IIT Guwahati,479
Software Developer,Shraddha Kapoor,Male,BTech Information Technology,Bengaluru,19,Hiking,Assamese,Graphic Design,Urban,NIT Jamshedpur,480
Data Engineer,Tiger Shroff,Male,BTech Chemical,Lucknow,18,Hiking,Bengali,Mobile App Development,Minimalist,NIT Jaipur,481
IAS,Vicky Kaushal,Male,BTech Mechanical,Vadodara,20,Chess,Hindi,Data Visualization,Minimalist,IIT Kanpur,482
Web Developer,Vicky Kaushal,Male,BTech Electrical and Electronics,Kota,18,Cricket,Marathi,DevOps,Urban,NIT Hamirpur,483
Data Engineer,Ranbir Kapoor,Female,BTech Computer Science ,Gurgaon,21,Kabaddi,Bengali,Content Writing,Minimalist,IIT Madras,484
Teacher,Katrina Kaif,Female,BTech Mining,Thiruvananthapuram,20,Meditation,Maithili,Blockchain,Urban,NIT Rourkela,485
IPS,Alia Bhatt,Male,BTech Computer Science ,Mumbai,18,Meditation,Gujarati,Public Speaking,Minimalist,IIT Kanpur,486
IAS,Ayushmann Khurrana,Male,MTech Civil,Jalandhar,22,Anime,Maithili,DevOps,Urban,IIT Delhi,487
Data Analyst,M. S. Dhoni,Male,MTech Chemical,Hyderabad,24,Attending Cultural Events,Maithili,Public Speaking,Urban,IIT Guwahati,488
Data Analyst,Akshay Kumar,Female,BTech Electrical and Electronics,Mumbai,20,Swimming,Odia,DevOps,Minimalist,NIT Hamirpur,489
App Development,Alia Bhatt,Male,BTech Chemical,Pune,18,WebSeries,Odia,Project Management,Minimalist,IIT Bombay,490
IAS,Shraddha Kapoor,Female,BTech Civil,Gurgaon,19,Badminton,Odia,Photography,Urban,IIT Delhi,491
IPS,Alia Bhatt,Female,MTech Information Technology,Nagpur,22,Badminton,Malayalam,Marketing Strategy,Minimalist,IIT Kharagpur,492
Teacher,Anushka Sharma,Male,BTech Electronics and Communication,Delhi,19,Kabaddi,Malayalam,UI/UX Design,Urban,NIT Jamshedpur,493
App Development,Varun Dhawan,Female,BTech Electronics and Communication,Mysore,20,Hockey,Punjabi,Data Visualization,Urban,NIT Jaipur,494
Teacher,Ayushmann Khurrana,Female,BTech Civil,Ghaziabad,19,PC Gaming,Malayalam,Mobile App Development,Urban,IIT Roorkee,495
Data Analyst,Shahid Kapoor,Male,MTech Mechanical,Raipur,23,Basketball,Marathi,Public Speaking,Urban,NIT Bhopal,496
IAS,Ranveer Singh,Male,MTech Mining,Amritsar,22,Hangout,Hindi,Trading,Urban,NIT Allahabad,497
Data Analyst,Aishwarya Rai Bachchan,Male,BTech Electrical and Electronics,Mangaluru,20,Cricket,Kannada,Cloud Computing,Urban,NIT Durgapur,498
IPS,Amitabh Bachchan,Female,BTech Mining,Kanpur,20,Football,Malayalam,Management,Minimalist,IIT Kharagpur,499
Web Developer,Rajkummar Rao,Male,BTech Electronics and Communication,Kolkata,19,Hockey,Bengali,Video Editing,Minimalist,IIT Kharagpur,500
